authoring_key,recipe_name,meal_type,recipe_format,cuisine_family,difficulty,prep_time_min,cook_time_min,ingredient_ids,ingredient_summary,calories,protein_g,carbs_g,fat_g,fiber_g,ingredient_count,measurement_basis_status,serving_bounds_status,serving_step_review_count,meal_timing_review_count,nutrition_review_decision,nutrition_review_notes,nutrition_reviewer_name,nutrition_reviewed_at,portion_review_decision,portion_review_notes,workout_timing_review_decision,workout_timing_review_notes,final_nutrition_status
pilot02_post_workout_turkey_jasmine_mango_bowl,Turkey jasmine mango bowl,post_workout,bowl,neutral,easy,10,18,2|27|98,Fesa di tacchino 155g raw | Riso jasmine 80g raw | Mango 120g raw,528.1,43.8,81.2,3.2,2.2,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot02_post_workout_cod_potato_green_bean_plate,Cod potato green bean plate,post_workout,plated_meal,mediterranean,easy,10,20,7|88|80|110|242|275,Merluzzo 170g raw | Patate 220g raw | Fagiolini 150g raw | Olio EVO 8g raw | Limone 20g raw | Prezzemolo 5g raw,433.6,37.7,51.2,9.7,10.7,6,PASS,PASS,3,0,,,,,,,,,PENDING
pilot03_breakfast_ricotta_peach_rye_toast,Ricotta peach rye toast,breakfast,handheld,neutral,easy,7,0,40|50|245|269,Pane di segale 60g raw | Ricotta magra 120g cooked | Pesca 120g raw | Cannella in polvere 5g raw,377.8,19.6,48.4,12.0,7.9,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot03_breakfast_kefir_oat_mango_smoothie,Kefir oat mango smoothie,breakfast,smoothie,neutral,easy,6,0,52|30|98|111,Kefir naturale 200g raw | Fiocchi di avena 40g raw | Mango 120g raw | Miele 10g raw,386.0,14.7,61.8,10.2,6.2,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot03_breakfast_chickpea_spinach_egg_pancake,Chickpea spinach egg pancake,breakfast,plated_meal,mediterranean,easy,8,8,48|66|68|256,Farina di ceci 50g raw | Albumi 150g raw | Spinaci 80g raw | Olio di cocco vergine 5g raw,334.5,29.7,32.9,8.9,7.8,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_breakfast_buckwheat_apple_yogurt_bowl,Buckwheat apple yogurt bowl,breakfast,bowl,neutral,easy,6,14,43|54|91|269,Grano saraceno 60g raw | Yogurt senza lattosio 160g raw | Mela 150g raw | Cannella in polvere 5g raw,392.2,14.7,76.1,6.1,12.3,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_breakfast_matcha_pomegranate_yogurt_bowl,Matcha pomegranate yogurt bowl,breakfast,bowl,neutral,easy,5,0,49|243|252|261,Yogurt greco 0% 180g raw | Melograno (arilli) 80g raw | Semi di canapa 10g raw | Matcha in polvere 5g raw,244.1,24.2,24.2,6.8,5.4,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_snack_orange_pistachio_cream,Orange with pistachio cream,snack,plated_meal,neutral,easy,4,0,238|280,Arancia 180g raw | Crema di pistacchi 100% 20g raw,196.0,5.7,26.8,9.3,6.4,2,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_snack_skyr_kiwi_honey_cup,Skyr kiwi honey cup,snack,bowl,neutral,easy,5,0,51|97|111,Skyr naturale 150g raw | Kiwi 120g raw | Miele 10g raw,198.1,17.9,31.9,0.9,3.6,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_snack_grapes_cashew_butter,Grapes with cashew butter,snack,plated_meal,neutral,easy,3,0,248|279,Uva 120g raw | Burro di anacardi 100% 20g raw,200.2,4.0,28.3,9.6,1.5,2,PASS,PASS,0,0,,,,,,,,,PENDING
pilot03_lunch_dinner_beef_polenta_mushroom_plate,Beef polenta mushroom plate,lunch/dinner,plated_meal,italian,medium,8,18,3|45|74|110|276,Manzo magro 150g raw | Polenta 70g raw | Funghi 120g raw | Olio EVO 10g raw | Rosmarino 5g raw,572.7,42.4,56.8,20.6,5.1,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_lunch_dinner_shrimp_couscous_zucchini_bowl,Shrimp couscous zucchini bowl,lunch/dinner,bowl,mediterranean,easy,8,12,12|34|69|83|110|242,Gamberi 140g raw | Cous cous 70g raw | Zucchine 150g raw | Pomodorini 100g raw | Olio EVO 10g raw | Limone 20g raw,519.9,40.0,64.9,11.8,4.8,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_lunch_dinner_tempeh_black_rice_kale_bowl,Tempeh black rice kale bowl,lunch/dinner,bowl,neutral,medium,10,25,15|25|84|71|110|277,Tempeh 120g raw | Riso nero 70g raw | Cavolo kale 100g raw | Carote 100g raw | Olio EVO 10g raw | Zenzero fresco 5g raw,654.3,34.3,80.5,26.2,9.0,6,PASS,PASS,0,0,,,,,,,,,PENDING
pilot03_lunch_dinner_tuna_potato_green_salad,Tuna potato green salad,lunch/dinner,salad,mediterranean,easy,10,18,6|88|78|76|110|221|242,Tonno al naturale 120g cooked | Patate 200g raw | Rucola 50g raw | Cetrioli 100g raw | Olio EVO 10g raw | Capperi 10g raw | Limone 20g raw,417.2,37.1,42.8,12.0,6.6,7,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_lunch_dinner_egg_asparagus_quinoa_plate,Egg asparagus quinoa plate,lunch/dinner,plated_meal,neutral,easy,8,18,65|32|73|110|273,Uova intere 120g raw | Quinoa 70g raw | Asparagi 150g raw | Olio EVO 10g raw | Pepe nero 5g raw,560.2,28.8,54.5,26.0,9.3,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_lunch_dinner_chickpea_feta_cucumber_salad,Chickpea feta cucumber salad,lunch/dinner,salad,mediterranean,easy,10,0,18|83|76|56|110|242|271,Ceci cotti 150g cooked | Pomodorini 120g raw | Cetrioli 120g raw | Feta 40g raw | Olio EVO 10g raw | Limone 20g raw | Menta fresca 5g raw,488.9,21.4,54.3,22.9,14.3,7,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_lunch_dinner_branzino_barley_fennel_plate,Branzino barley fennel plate,lunch/dinner,plated_meal,mediterranean,medium,8,25,8|33|79|110|275,Branzino 160g raw | Orzo perlato 70g raw | Finocchi 150g raw | Olio EVO 10g raw | Prezzemolo 5g raw,539.7,38.3,62.7,14.4,15.7,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_lunch_dinner_seitan_rice_pasta_pak_choi_bowl,Seitan rice pasta pak choi bowl,lunch/dinner,bowl,asian_inspired,easy,10,15,16|46|234|71|110|255|277,Seitan 100g raw | Pasta di riso 80g raw | Pak choi (cavolo cinese) 150g raw | Carote 80g raw | Olio EVO 10g raw | Aceto di mele 10g raw | Zenzero fresco 5g raw,798.4,82.8,89.2,12.9,5.6,7,PASS,PASS,0,0,,,,,,,,,PENDING
pilot03_lunch_dinner_lentil_pumpkin_soup,Lentil pumpkin soup,lunch/dinner,soup_stew,neutral,easy,10,20,20|81|71|228|110|270,Lenticchie cotte 180g cooked | Zucca 200g raw | Carote 80g raw | Cipolla 40g raw | Olio EVO 10g raw | Curcuma in polvere 5g raw,415.7,19.8,63.8,11.6,19.2,6,PASS,PASS,3,0,,,,,,,,,PENDING
pilot03_lunch_dinner_mackerel_sweet_potato_cabbage_plate,Mackerel sweet potato cabbage plate,lunch/dinner,plated_meal,neutral,medium,8,22,9|89|224|110|242,Sgombro 130g raw | Patata dolce 200g raw | Cavolo cappuccio 120g raw | Olio EVO 10g raw | Limone 20g raw,562.7,29.2,49.0,28.5,9.6,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_lunch_dinner_silken_tofu_rice_noodle_daikon_bowl,Silken tofu rice noodle daikon bowl,lunch/dinner,bowl,asian_inspired,easy,10,10,63|37|230|232|110|255,Tofu silken 180g raw | Noodles di riso 70g raw | Daikon 100g raw | Germogli di soia 60g raw | Olio EVO 10g raw | Aceto di mele 10g raw,488.1,16.1,67.5,15.9,3.8,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_pre_workout_oat_banana_honey_bar,Oat banana honey bar,pre_workout,handheld,neutral,easy,7,0,30|90|111,Fiocchi di avena 50g raw | Banana 100g raw | Miele 15g raw,329.1,9.6,68.3,3.8,7.9,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot03_pre_workout_jasmine_rice_pineapple_cup,Jasmine rice pineapple cup,pre_workout,bowl,neutral,easy,5,14,27|100|111,Riso jasmine 60g raw | Ananas 120g raw | Miele 10g raw,304.6,4.8,71.4,0.4,1.9,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_pre_workout_oat_flour_date_pancake,Oat flour date pancake,pre_workout,plated_meal,neutral,easy,8,8,31|66|102,Farina di avena 50g raw | Albumi 120g raw | Datteri 30g raw,336.5,21.3,54.8,3.9,6.9,3,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_post_workout_shrimp_basmati_papaya_bowl,Shrimp basmati papaya bowl,post_workout,bowl,neutral,easy,8,16,12|24|99,Gamberi 140g raw | Riso basmati 80g raw | Papaya 120g raw,455.4,34.4,76.4,1.7,3.1,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot03_post_workout_tofu_jasmine_pineapple_bowl,Tofu jasmine pineapple bowl,post_workout,bowl,neutral,easy,8,16,14|27|100|234,Tofu 160g raw | Riso jasmine 80g raw | Ananas 120g raw | Pak choi (cavolo cinese) 120g raw,482.8,20.8,84.6,8.4,3.6,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot03_post_workout_egg_potato_spinach_plate,Egg potato spinach plate,post_workout,plated_meal,neutral,easy,8,20,65|88|68|110,Uova intere 120g raw | Patate 220g raw | Spinaci 100g raw | Olio EVO 5g raw,408.2,22.4,42.9,17.0,7.0,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot04_breakfast_cottage_cheese_apricot_seed_bowl,Cottage cheese apricot seed bowl,breakfast,bowl,neutral,easy,6,0,53|237|253|269,Fiocchi di latte 150g raw | Albicocca 120g raw | Semi di girasole 15g raw | Cannella in polvere 5g raw,304.6,21.7,25.5,14.7,6.3,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_breakfast_silken_tofu_cacao_cherry_smoothie,Silken tofu cacao cherry smoothie,breakfast,smoothie,neutral,easy,6,0,63|240|58|116,Tofu silken 150g raw | Ciliegie 120g raw | Latte parzialmente scremato 150g raw | Cacao amaro 5g raw,238.5,14.9,32.4,7.4,4.4,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_breakfast_egg_avocado_rye_plate,Egg avocado rye plate,breakfast,plated_meal,neutral,easy,6,8,65|40|101|273,Uova intere 100g raw | Pane di segale 60g raw | Avocado 60g raw | Pepe nero 5g raw,407.0,19.4,38.0,20.5,8.8,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot04_breakfast_amaranth_lactose_free_yogurt_fig_bowl,Amaranth lactose-free yogurt fig bowl,breakfast,bowl,neutral,easy,6,18,44|54|241|109,Amaranto 50g raw | Yogurt senza lattosio 150g raw | Fico fresco 80g raw | Semi di lino 10g raw,388.1,15.4,59.2,11.4,8.4,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_breakfast_boiled_egg_melon_seed_plate,Boiled egg melon seed plate,breakfast,plated_meal,neutral,easy,6,0,67|244|253|273,Uovo sodo 50g cooked | Melone cantalupo 180g raw | Semi di girasole 15g raw | Pepe nero 5g raw,238.9,11.6,21.5,13.6,4.2,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_snack_bresaola_cucumber_rolls,Bresaola cucumber rolls,snack,handheld,italian,easy,7,0,4|76|242,Bresaola 60g raw | Cetrioli 80g raw | Limone 10g raw,105.5,19.9,4.1,1.3,0.7,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot04_snack_kefir_cacao_hazelnut_cup,Kefir cacao hazelnut cup,snack,bowl,neutral,easy,5,0,52|251|116,Kefir naturale 180g raw | Nocciole 15g raw | Cacao amaro 5g raw,220.8,9.5,13.5,16.1,3.3,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_snack_boiled_egg_grapefruit_plate,Boiled egg grapefruit plate,snack,plated_meal,neutral,easy,6,0,67|246|273,Uovo sodo 50g cooked | Pompelmo 120g raw | Pepe nero 5g raw,140.5,8.0,16.6,5.6,2.9,3,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_lunch_dinner_turkey_orzo_pepper_bowl,Turkey orzo pepper bowl,lunch/dinner,bowl,mediterranean,easy,8,18,2|33|72|228|110|272,Fesa di tacchino 150g raw | Orzo perlato 70g raw | Peperoni 150g raw | Cipolla 40g raw | Olio EVO 10g raw | Origano secco 5g raw,579.0,45.4,67.4,14.1,16.9,6,PASS,PASS,3,0,,,,,,,,,PENDING
pilot04_lunch_dinner_trout_amaranth_broccoli_plate,Trout amaranth broccoli plate,lunch/dinner,plated_meal,mediterranean,easy,8,20,10|44|70|110|242|275,Trota 160g raw | Amaranto 70g raw | Broccoli 150g raw | Olio EVO 10g raw | Limone 10g raw | Prezzemolo 5g raw,629.4,45.8,57.3,26.1,9.0,6,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_lunch_dinner_nasello_polenta_chard_plate,Nasello polenta chard plate,lunch/dinner,plated_meal,italian,easy,8,20,11|45|220|110|267,Nasello 160g raw | Polenta 70g raw | Bietola 120g raw | Olio EVO 10g raw | Aglio 5g raw,509.7,36.3,57.9,15.3,5.2,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_lunch_dinner_polpo_potato_radicchio_salad,Polpo potato radicchio salad,lunch/dinner,salad,mediterranean,medium,10,20,13|88|236|85|110|242,Polpo 150g raw | Patate 200g raw | Radicchio 60g raw | Sedano 60g raw | Olio EVO 10g raw | Limone 10g raw,391.7,27.7,43.7,12.0,6.2,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_lunch_dinner_edamame_integral_rice_carrot_bowl,Edamame integral rice carrot bowl,lunch/dinner,bowl,asian_inspired,easy,8,25,17|26|71|232|255|277,Edamame 120g raw | Riso integrale 70g raw | Carote 100g raw | Germogli di soia 60g raw | Aceto di mele 10g raw | Zenzero fresco 5g raw,478.3,22.5,80.0,9.0,12.7,6,PASS,PASS,0,0,,,,,,,,,PENDING
pilot04_lunch_dinner_fagioli_cabbage_pasta_stew,Fagioli cabbage pasta stew,lunch/dinner,soup_stew,italian,easy,8,22,19|35|224|228|110|270,Fagioli cotti 170g cooked | Pasta integrale 60g raw | Cavolo cappuccio 100g raw | Cipolla 40g raw | Olio EVO 10g raw | Curcuma in polvere 5g raw,571.8,24.7,91.1,13.0,20.1,6,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_lunch_dinner_calamari_rice_pasta_zucchini_bowl,Calamari rice pasta zucchini bowl,lunch/dinner,bowl,mediterranean,easy,8,15,203|46|69|83|110|275,Calamari 150g raw | Pasta di riso 70g raw | Zucchine 150g raw | Pomodorini 100g raw | Olio EVO 10g raw | Prezzemolo 5g raw,518.1,30.4,68.8,13.2,3.9,6,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_lunch_dinner_coniglio_quinoa_carciofo_plate,Coniglio quinoa carciofo plate,lunch/dinner,plated_meal,mediterranean,medium,10,25,206|32|222|110|276,Coniglio 150g raw | Quinoa 70g raw | Carciofo 120g raw | Olio EVO 10g raw | Rosmarino 5g raw,612.9,44.1,58.6,23.8,12.1,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_lunch_dinner_vongole_couscous_pomodoro_bowl,Vongole couscous pomodoro bowl,lunch/dinner,bowl,mediterranean,medium,10,15,211|34|82|235|110|275,Vongole 130g raw | Cous cous 70g raw | Pomodoro 120g raw | Porro 70g raw | Olio EVO 10g raw | Prezzemolo 5g raw,529.5,30.4,73.9,12.2,4.4,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_lunch_dinner_azuki_sweet_potato_kale_bowl,Azuki sweet potato kale bowl,lunch/dinner,bowl,neutral,easy,8,22,213|89|84|110|270,Azuki cotti 160g cooked | Patata dolce 160g raw | Cavolo kale 80g raw | Olio EVO 10g raw | Curcuma in polvere 5g raw,487.7,18.4,83.1,11.5,20.4,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_lunch_dinner_capesante_black_rice_asparagus_plate,Capesante black rice asparagus plate,lunch/dinner,plated_meal,mediterranean,medium,8,25,205|25|73|110|242,Capesante 130g raw | Riso nero 70g raw | Asparagi 150g raw | Olio EVO 10g raw | Limone 10g raw,477.2,31.5,62.7,13.0,5.9,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_lunch_dinner_beef_rice_noodle_pak_choi_bowl,Beef rice noodle pak choi bowl,lunch/dinner,bowl,asian_inspired,easy,8,16,3|37|234|232|256|277,Manzo magro 150g raw | Noodles di riso 70g raw | Pak choi (cavolo cinese) 120g raw | Germogli di soia 60g raw | Olio di cocco vergine 10g raw | Zenzero fresco 5g raw,587.4,41.0,63.2,18.6,3.5,6,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_pre_workout_white_rice_banana_honey_cup,White rice banana honey cup,pre_workout,bowl,neutral,easy,5,15,23|90|111,Riso bianco 60g raw | Banana 100g raw | Miele 15g raw,353.6,5.3,83.2,0.7,2.9,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot04_pre_workout_date_banana_green_tea_plate,Date banana green tea plate,pre_workout,plated_meal,neutral,easy,5,0,102|90|266,Datteri 30g raw | Banana 100g raw | Tè verde 250g raw,176.1,1.9,45.8,0.4,5.0,3,PASS,PASS,2,0,,,,,,,,,PENDING
pilot04_pre_workout_oat_banana_espresso_bowl,Oat banana espresso bowl,pre_workout,bowl,neutral,easy,5,5,30|90|259,Fiocchi di avena 50g raw | Banana 100g raw | Caffè (espresso) 30g raw,286.2,9.6,56.0,3.8,7.9,3,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_post_workout_salmon_white_rice_melon_plate,Salmon white rice melon plate,post_workout,plated_meal,neutral,easy,8,18,5|23|244|110,Salmone 150g raw | Riso bianco 80g raw | Melone cantalupo 150g raw | Olio EVO 10g raw,743.4,37.4,76.3,31.0,1.7,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot04_post_workout_beef_jasmine_carrot_bowl,Beef jasmine carrot bowl,post_workout,bowl,neutral,easy,8,18,3|27|71|110,Manzo magro 150g raw | Riso jasmine 80g raw | Carote 120g raw | Olio EVO 10g raw,621.2,38.9,74.7,18.1,3.6,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_breakfast_oat_flour_pear_cottage_bowl,Oat flour pear cottage bowl,breakfast,bowl,neutral,easy,6,5,31|53|92|252|269,Farina di avena 50g raw | Fiocchi di latte 150g raw | Pera 140g raw | Semi di canapa 10g raw | Cannella in polvere 5g raw,484.0,28.1,62.8,15.0,11.9,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot05_breakfast_album_rye_zucchini_plate,Albumen rye zucchini plate,breakfast,plated_meal,mediterranean,easy,8,10,66|40|69|256,Albumi 155g raw | Pane di segale 60g raw | Zucchine 125g raw | Olio di cocco vergine 5g raw,301.9,23.5,33.9,7.6,4.7,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_breakfast_lactose_free_yogurt_grape_flax_bowl,Lactose-free yogurt grape flax bowl,breakfast,bowl,neutral,easy,5,0,54|248|109|116,Yogurt senza lattosio 170g raw | Uva 120g raw | Semi di lino 10g raw | Cacao amaro 5g raw,249.6,10.1,36.5,9.1,5.7,4,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_breakfast_natto_buckwheat_avocado_bowl,Natto buckwheat avocado bowl,breakfast,bowl,asian_inspired,easy,8,15,212|43|101|271,Natto 80g raw | Grano saraceno 60g raw | Avocado 60g raw | Menta fresca 5g raw,474.1,23.5,60.3,19.7,14.7,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_breakfast_milk_cream_rice_cherry_bowl,Milk cream of rice cherry bowl,breakfast,bowl,neutral,easy,5,5,29|58|240|250,Crema di riso 50g raw | Latte parzialmente scremato 200g raw | Ciliegie 120g raw | Farina di mandorle 25g raw,492.4,17.1,74.9,16.3,5.6,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_snack_apricot_hazelnuts,Apricot hazelnut snack,snack,plated_meal,neutral,easy,4,0,237|251,Albicocca 120g raw | Nocciole 20g raw,183.2,4.7,16.7,12.6,4.3,2,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_snack_anchovy_cucumber_lemon_bites,Anchovy cucumber lemon bites,snack,handheld,italian,easy,7,0,201|76|242,Alici/Acciughe 50g raw | Cetrioli 80g raw | Limone 10g raw,80.4,10.9,3.8,2.9,0.7,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_snack_papaya_pumpkin_seeds,Papaya pumpkin seed snack,snack,bowl,neutral,easy,5,0,99|254,Papaya 150g raw | Semi di zucca 20g raw,176.3,6.8,18.6,10.3,3.8,2,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_lunch_dinner_anchovy_integral_rice_fennel_plate,Anchovy integral rice fennel plate,lunch/dinner,plated_meal,mediterranean,easy,8,25,201|26|79|110|242,Alici/Acciughe 70g raw | Riso integrale 70g raw | Finocchi 150g raw | Olio EVO 10g raw | Limone 10g raw,488.5,21.7,65.9,16.3,7.4,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_lunch_dinner_herring_potato_beet_salad,Herring potato beet salad,lunch/dinner,salad,mediterranean,easy,10,20,202|88|86|76|255,Aringa 120g raw | Patate 200g raw | Barbabietola 100g raw | Cetrioli 80g raw | Aceto di mele 10g raw,454.7,27.4,47.6,17.8,7.6,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_lunch_dinner_mussels_white_rice_leek_stew,Mussels white rice leek stew,lunch/dinner,soup_stew,mediterranean,medium,10,22,207|23|235|224|275,Cozze 160g raw | Riso bianco 70g raw | Porro 80g raw | Cavolo cappuccio 100g raw | Prezzemolo 5g raw,468.7,26.6,79.4,4.4,4.4,5,PASS,PASS,1,0,,,,,,,,,PENDING
pilot05_lunch_dinner_oyster_couscous_daikon_bowl,Oyster couscous daikon bowl,lunch/dinner,bowl,asian_inspired,medium,10,15,209|34|230|232|277,Ostriche 90g raw | Cous cous 70g raw | Daikon 80g raw | Germogli di soia 60g raw | Zenzero fresco 5g raw,380.3,20.8,66.3,3.1,4.0,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot05_lunch_dinner_natto_black_rice_pak_choi_bowl,Natto black rice pak choi bowl,lunch/dinner,bowl,asian_inspired,easy,8,25,212|25|234|228|255,Natto 90g raw | Riso nero 70g raw | Pak choi (cavolo cinese) 120g raw | Cipolla 40g raw | Aceto di mele 10g raw,465.1,24.4,69.8,12.0,9.2,5,PASS,PASS,1,0,,,,,,,,,PENDING
